2026-04-01 04:23:05 startup archives unpack
2026-04-01 04:23:06 install linux-modules-6.8.0-107-generic:amd64 <none> 6.8.0-107.107
2026-04-01 04:23:06 status half-installed linux-modules-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:06 status unpacked linux-modules-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:06 install linux-image-6.8.0-107-generic:amd64 <none> 6.8.0-107.107
2026-04-01 04:23:06 status half-installed linux-image-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:06 status unpacked linux-image-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:07 install linux-modules-extra-6.8.0-107-generic:amd64 <none> 6.8.0-107.107
2026-04-01 04:23:07 status half-installed linux-modules-extra-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:08 status unpacked linux-modules-extra-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:08 upgrade linux-generic:amd64 6.8.0-106.106 6.8.0-107.107
2026-04-01 04:23:08 status half-configured linux-generic:amd64 6.8.0-106.106
2026-04-01 04:23:08 status unpacked linux-generic:amd64 6.8.0-106.106
2026-04-01 04:23:08 status half-installed linux-generic:amd64 6.8.0-106.106
2026-04-01 04:23:08 status unpacked linux-generic:amd64 6.8.0-107.107
2026-04-01 04:23:08 upgrade linux-image-generic:amd64 6.8.0-106.106 6.8.0-107.107
2026-04-01 04:23:08 status half-configured linux-image-generic:amd64 6.8.0-106.106
2026-04-01 04:23:08 status unpacked linux-image-generic:amd64 6.8.0-106.106
2026-04-01 04:23:08 status half-installed linux-image-generic:amd64 6.8.0-106.106
2026-04-01 04:23:08 status unpacked linux-image-generic:amd64 6.8.0-107.107
2026-04-01 04:23:08 install linux-headers-6.8.0-107:all <none> 6.8.0-107.107
2026-04-01 04:23:08 status half-installed linux-headers-6.8.0-107:all 6.8.0-107.107
2026-04-01 04:23:11 status unpacked linux-headers-6.8.0-107:all 6.8.0-107.107
2026-04-01 04:23:11 install linux-headers-6.8.0-107-generic:amd64 <none> 6.8.0-107.107
2026-04-01 04:23:11 status half-installed linux-headers-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:13 status unpacked linux-headers-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:13 upgrade linux-headers-generic:amd64 6.8.0-106.106 6.8.0-107.107
2026-04-01 04:23:13 status half-configured linux-headers-generic:amd64 6.8.0-106.106
2026-04-01 04:23:13 status unpacked linux-headers-generic:amd64 6.8.0-106.106
2026-04-01 04:23:13 status half-installed linux-headers-generic:amd64 6.8.0-106.106
2026-04-01 04:23:13 status unpacked linux-headers-generic:amd64 6.8.0-107.107
2026-04-01 04:23:13 upgrade linux-libc-dev:amd64 6.8.0-106.106 6.8.0-107.107
2026-04-01 04:23:13 status half-configured linux-libc-dev:amd64 6.8.0-106.106
2026-04-01 04:23:13 status unpacked linux-libc-dev:amd64 6.8.0-106.106
2026-04-01 04:23:13 status half-installed linux-libc-dev:amd64 6.8.0-106.106
2026-04-01 04:23:13 status unpacked linux-libc-dev:amd64 6.8.0-107.107
2026-04-01 04:23:14 upgrade linux-tools-common:all 6.8.0-106.106 6.8.0-107.107
2026-04-01 04:23:14 status half-configured linux-tools-common:all 6.8.0-106.106
2026-04-01 04:23:14 status unpacked linux-tools-common:all 6.8.0-106.106
2026-04-01 04:23:14 status half-installed linux-tools-common:all 6.8.0-106.106
2026-04-01 04:23:14 status triggers-pending man-db:amd64 2.12.0-4build2
2026-04-01 04:23:14 status unpacked linux-tools-common:all 6.8.0-107.107
2026-04-01 04:23:14 install linux-tools-6.8.0-107:amd64 <none> 6.8.0-107.107
2026-04-01 04:23:14 status half-installed linux-tools-6.8.0-107:amd64 6.8.0-107.107
2026-04-01 04:23:14 status unpacked linux-tools-6.8.0-107:amd64 6.8.0-107.107
2026-04-01 04:23:14 install linux-tools-6.8.0-107-generic:amd64 <none> 6.8.0-107.107
2026-04-01 04:23:14 status half-installed linux-tools-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:14 status unpacked linux-tools-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:14 startup packages configure
2026-04-01 04:23:14 configure linux-headers-6.8.0-107:all 6.8.0-107.107 <none>
